Wall time,Step,Value
1543273548.107787,0,6.649591445922852
1543273548.8144763,1,6.477863311767578
1543273549.5239675,2,6.393978118896484
1543273550.2298176,3,6.34586238861084
1543273550.9364855,4,6.297082424163818
1543273551.6418147,5,6.269129276275635
1543273552.3467162,6,6.2318010330200195
1543273553.0528758,7,6.2277069091796875
1543273553.7592983,8,6.204657554626465
1543273554.465023,9,6.192957878112793
1543273576.799468,0,6.260780334472656
1543273577.5096483,1,6.205628395080566
1543273578.2192771,2,6.194855213165283
1543273578.9284377,3,6.169574737548828
1543273579.6378906,4,6.174623489379883
1543273580.349433,5,6.15377950668335
1543273581.0666032,6,6.133679389953613
1543273581.7798529,7,6.118557453155518
1543273582.491387,8,6.12200927734375
1543273583.2058735,9,6.11679744720459
1543273606.4837372,0,6.199901103973389
1543273607.1947045,1,6.15872049331665
1543273607.9050179,2,6.1499834060668945
1543273608.6194232,3,6.126409530639648
1543273609.3328226,4,6.10419225692749
1543273610.0486221,5,6.100944995880127
1543273610.7638388,6,6.096375465393066
1543273611.479005,7,6.085638999938965
1543273612.1939583,8,6.068995952606201
1543273612.9089732,9,6.080108642578125
1543273634.9119644,0,6.2011942863464355
1543273635.618428,1,6.160695552825928
1543273636.3325899,2,6.147809028625488
1543273637.0485504,3,6.141793727874756
1543273637.7624567,4,6.145538330078125
1543273638.4756224,5,6.1211442947387695
1543273639.1880507,6,6.098318099975586
1543273639.9025536,7,6.089377403259277
1543273640.615981,8,6.085953712463379
1543273641.3284872,9,6.095463275909424
1543273663.6725426,0,6.190396308898926
1543273664.3761132,1,6.152283668518066
1543273665.0806577,2,6.13616943359375
1543273665.7848394,3,6.120926380157471
1543273666.4987452,4,6.103538513183594
1543273667.2120788,5,6.092889785766602
1543273667.9244342,6,6.085925102233887
1543273668.6381822,7,6.076051235198975
1543273669.3515813,8,6.079930305480957
1543273670.0644734,9,6.068516731262207
1543273692.3155072,0,6.172206878662109
1543273693.030741,1,6.147140979766846
1543273693.7349088,2,6.133217811584473
1543273694.4390595,3,6.121664047241211
1543273695.144341,4,6.112913608551025
1543273695.850492,5,6.106389999389648
1543273696.5658183,6,6.101113319396973
1543273697.2789793,7,6.097255229949951
1543273697.9944077,8,6.095062255859375
1543273698.7076206,9,6.091723442077637
1543273720.9923542,0,6.138924598693848
1543273721.700514,1,6.11929178237915
1543273722.4069178,2,6.105119705200195
1543273723.1120768,3,6.0972161293029785
1543273723.8182278,4,6.090932846069336
