Wall time,Step,Value
1543118362.2547007,0,5.376164436340332
1543118362.3187153,1,12.207386016845703
1543118362.38473,2,15.714234352111816
1543118376.7410438,0,19.370765686035156
1543118376.8100507,1,21.02474594116211
1543118376.878066,2,22.292205810546875
1543118391.6714327,0,25.501689910888672
1543118391.7404397,1,26.671632766723633
1543118391.8107495,2,27.81016731262207
1543118406.8628106,0,29.321550369262695
1543118406.9368489,1,30.03130531311035
1543118407.0008721,2,30.20955467224121
1543118422.3623428,0,30.37485694885254
1543118422.4313588,1,30.388774871826172
1543118422.4993742,2,30.08768653869629
1543118438.0079303,0,29.612464904785156
1543118438.0789468,1,28.752347946166992
1543118438.1479642,2,27.835351943969727
1543118454.339639,0,26.743946075439453
1543118454.4076662,1,25.625965118408203
1543118454.4716895,2,24.59873390197754
1543118470.9094229,0,23.668270111083984
1543118470.980438,1,22.477779388427734
1543118471.0484452,2,21.341732025146484
1543118487.333141,0,20.29289436340332
1543118487.4021654,1,19.23902130126953
1543118487.467172,2,18.20176887512207
1543118503.736863,0,17.162092208862305
1543118503.8078883,1,16.21382713317871
1543118503.8749034,2,15.315241813659668
1543118519.7735307,0,14.36929702758789
1543118519.8415372,1,13.541325569152832
1543118519.9055603,2,12.760356903076172
1543118535.901259,0,11.999467849731445
1543118535.9742742,1,11.310647964477539
1543118536.0422888,2,10.66552448272705
1543118551.7178352,0,10.072126388549805
1543118551.78585,1,9.507594108581543
1543118551.8518655,2,8.981146812438965
1543118567.6958354,0,8.49510383605957
1543118567.7648609,1,8.049152374267578
1543118567.830876,2,7.631601810455322
1543118583.5797894,0,7.280054092407227
1543118583.648805,1,6.9197516441345215
1543118583.7108102,2,6.5900678634643555
1543118599.5894027,0,6.300459384918213
1543118599.6574318,1,6.002183437347412
1543118599.7234542,2,5.715055465698242
1543118615.1701798,0,5.399691104888916
1543118615.237204,1,5.169662952423096
1543118615.3032186,2,4.957067489624023
1543118630.9437482,0,4.828604221343994
1543118631.012764,1,4.638367176055908
1543118631.0797782,2,4.461416244506836
1543118646.5032775,0,4.277657508850098
1543118646.5723917,1,4.123147964477539
1543118646.6374068,2,3.9852089881896973
1543118662.6420364,0,3.966444253921509
1543118662.7130523,1,3.8429224491119385
1543118662.7810683,2,3.7327003479003906
1543118679.621878,0,3.530151844024658
1543118679.694251,1,3.428112745285034
1543118679.7622488,2,3.3145041465759277
1543118695.7609074,0,3.48030686378479
1543118695.8359241,1,2.93522310256958
1543118695.9099412,2,2.8453757762908936
1543118711.3814418,0,2.907806634902954
1543118711.4484563,1,2.8445591926574707
1543118711.5164714,2,2.8261287212371826
1543118726.2988155,0,2.90891170501709
1543118726.3708332,1,2.7630090713500977
1543118726.4388487,2,2.709019184112549
1543118741.9663627,0,2.6889219284057617
1543118742.041377,1,2.623145341873169
1543118742.1103945,2,2.5595130920410156
1543118758.2180376,0,2.4732754230499268
1543118758.2870529,1,2.4624311923980713
1543118758.3529358,2,2.519667387008667
1543118773.9357154,0,2.5687873363494873
1543118774.0047307,1,2.559910297393799
1543118774.071746,2,2.5502231121063232
1543118789.5872679,0,2.5065274238586426
1543118789.6572962,1,2.4960150718688965
1543118789.7213101,2,2.4840588569641113
1543118804.9877694,0,2.4474971294403076
1543118805.0577936,1,2.434770345687866
1543118805.1248004,2,2.4224140644073486
1543118821.0774453,0,2.373338460922241
1543118821.1444604,1,2.359830617904663
1543118821.2104843,2,2.344712018966675
1543118837.7562368,0,2.3273770809173584
1543118837.8282442,1,2.3167693614959717
1543118837.8902578,2,2.3069567680358887
1543118853.518803,0,2.311863660812378
1543118853.58582,1,2.298779249191284
1543118853.648834,2,2.284773826599121
1543118869.9565327,0,2.3442893028259277
1543118870.0255694,1,2.33194637298584
1543118870.0915847,2,2.320856809616089
1543118886.732341,0,2.352827787399292
1543118886.8023567,1,2.3404781818389893
1543118886.8673728,2,2.3283262252807617
1543118902.2278552,0,2.3005218505859375
1543118902.2948613,1,2.2922823429107666
1543118902.357885,2,2.2818331718444824
1543118917.9804213,0,2.2903475761413574
1543118918.04945,1,2.276705741882324
1543118918.1124635,2,2.2657663822174072
1543118933.4829404,0,2.2663516998291016
1543118933.550956,1,2.2559847831726074
1543118933.6219723,2,2.246065139770508
1543118949.1374953,0,2.221919059753418
1543118949.2075236,1,2.2118496894836426
1543118949.274539,2,2.199985980987549
1543118965.5252268,0,2.235297679901123
1543118965.5942426,1,2.2214736938476562
1543118965.6652591,2,2.2081148624420166
1543118981.476373,0,2.1891794204711914
1543118981.551391,1,2.1846039295196533
1543118981.6244073,2,2.1772818565368652
1543118997.0209072,0,2.1507678031921387
1543118997.0899222,1,2.1382033824920654
1543118997.1539469,2,2.1255688667297363
1543119012.400387,0,2.1484696865081787
1543119012.4714031,1,2.1451518535614014
1543119012.5364182,2,2.13702654838562
1543119028.2540023,0,2.1418211460113525
1543119028.3200207,1,2.1264736652374268
1543119028.3860443,2,2.117042303085327
1543119043.5364718,0,2.0945863723754883
1543119043.6054783,1,2.091284990310669
1543119043.6725023,2,2.084993839263916
1543119059.1149879,0,2.092646360397339
1543119059.1870124,1,2.0804359912872314
1543119059.2520185,2,2.0663681030273438
1543119074.5059445,0,2.0974700450897217
1543119074.574951,1,2.089381694793701
1543119074.641975,2,2.0800092220306396
1543119089.6223671,0,2.0841281414031982
1543119089.691405,1,2.079216480255127
