Wall time,Step,Value
1543338497.3545907,0,2.157782554626465
1543338498.0290496,1,1.918345332145691
1543338498.6992013,2,1.8500338792800903
1543338499.3686898,3,1.791575312614441
1543338500.037841,4,1.76442289352417
1543338500.7079928,5,1.728805661201477
1543338501.3781443,6,1.6872899532318115
1543338502.048296,7,1.6757426261901855
1543338502.7174475,8,1.6468483209609985
1543338503.3866072,9,1.6438082456588745
1543338524.4323921,0,1.7317860126495361
1543338525.135464,1,1.6848573684692383
1543338525.8366313,2,1.6728891134262085
1543338526.5367894,3,1.6452240943908691
1543338527.2349474,4,1.6404112577438354
1543338527.9370978,5,1.6206297874450684
1543338528.6392565,6,1.611940860748291
1543338529.343425,7,1.6065980195999146
1543338530.0465748,8,1.6025328636169434
1543338530.749734,9,1.60365629196167
1543338553.1098323,0,1.7045494318008423
1543338553.812732,1,1.6736762523651123
1543338554.5153077,2,1.6385111808776855
1543338555.2194583,3,1.6216866970062256
1543338555.921626,4,1.623079776763916
1543338556.623917,5,1.6052839756011963
1543338557.324366,6,1.591467022895813
1543338558.0257962,7,1.5917588472366333
1543338558.7269547,8,1.5896897315979004
1543338559.4272976,9,1.5828125476837158
1543338580.774132,0,1.6677966117858887
1543338581.4782736,1,1.6311004161834717
1543338582.1776934,2,1.6102135181427002
1543338582.8782463,3,1.6031550168991089
1543338583.5794141,4,1.587691068649292
1543338584.2795637,5,1.5815585851669312
1543338584.9807308,6,1.5743894577026367
1543338585.6830218,7,1.5707281827926636
1543338586.3845222,8,1.5684475898742676
1543338587.0866723,9,1.5668121576309204
1543338608.924043,0,1.6771396398544312
1543338609.6276243,1,1.6473469734191895
1543338610.329961,2,1.6266236305236816
1543338611.031685,3,1.6151453256607056
1543338611.734853,4,1.603743076324463
1543338612.4370117,5,1.5954411029815674
1543338613.1401713,6,1.5931259393692017
1543338613.8433213,7,1.6031895875930786
1543338614.5474892,8,1.599723219871521
1543338615.25064,9,1.5878965854644775
1543338637.4667017,0,1.6611542701721191
1543338638.1708703,1,1.6352388858795166
1543338638.884077,2,1.619777798652649
1543338639.5852432,3,1.6075862646102905
1543338640.2864013,4,1.5966142416000366
1543338640.9886014,5,1.5903232097625732
1543338641.68976,6,1.584607720375061
1543338642.3909547,7,1.5794025659561157
1543338643.0931137,8,1.5750510692596436
1543338643.7952726,9,1.5740770101547241
1543338665.2551277,0,1.6316345930099487
1543338665.9572856,1,1.6145942211151123
1543338666.6614573,2,1.6029860973358154
1543338667.3636158,3,1.5942485332489014
1543338668.0657752,4,1.5881576538085938
1543338668.7655272,5,1.5839285850524902
1543338669.4692397,6,1.578358769416809
1543338670.173411,7,1.5758464336395264
1543338670.8765786,8,1.5713865756988525
1543338671.5817292,9,1.5678800344467163
1543338693.3286495,0,1.6040242910385132
1543338694.030307,1,1.5844640731811523
1543338694.732153,2,1.5732965469360352
1543338695.434386,3,1.5639622211456299
1543338696.137603,4,1.5578738451004028
1543338696.839762,5,1.5545350313186646
1543338697.541929,6,1.5484402179718018
1543338698.24601,7,1.5442917346954346
1543338698.9481764,8,1.5436973571777344
1543338699.6513267,9,1.5394848585128784
1543338721.1212056,0,1.6408969163894653
1543338721.8244991,1,1.6257601976394653
1543338722.5266583,2,1.6114495992660522
1543338723.2268164,3,1.6051957607269287
1543338723.928975,4,1.6004366874694824
1543338724.6331348,5,1.5935558080673218
1543338725.3363225,6,1.5901281833648682
1543338726.0388296,7,1.5873761177062988
1543338726.7429976,8,1.5844056606292725
1543338727.4451485,9,1.5813227891921997
1543338749.3916173,0,1.6520307064056396
1543338750.0957766,1,1.633683204650879
1543338750.7969437,2,1.6192803382873535
1543338751.4970932,3,1.6107020378112793
1543338752.198253,4,1.6017460823059082
1543338752.9004111,5,1.5981909036636353
1543338753.6015704,6,1.5940560102462769
1543338754.304729,7,1.5879871845245361
1543338755.0092285,8,1.585770606994629
1543338755.711387,9,1.5819534063339233
1543338778.5410285,0,1.6142573356628418
1543338779.2505107,1,1.6013132333755493
1543338779.9675257,2,1.592533826828003
1543338780.6924305,3,1.584412932395935
1543338781.4123166,4,1.579365849494934
1543338782.1328816,5,1.574427604675293
1543338782.8532815,6,1.5706572532653809
1543338783.5736167,7,1.5671594142913818
1543338784.2777758,8,1.566421389579773
1543338784.9819348,9,1.5613021850585938
1543338807.6335552,0,1.653124451637268
1543338808.3377142,1,1.6395187377929688
1543338809.0408733,2,1.6284071207046509
1543338809.7410536,3,1.6215530633926392
