Wall time,Step,Value
1543340800.3568575,0,6.729179382324219
1543340801.06592,1,6.525224208831787
1543340801.773037,2,6.456228733062744
1543340802.4862816,3,6.396701812744141
1543340803.1944892,4,6.3548264503479
1543340803.9097338,5,6.329794883728027
1543340804.6371121,6,6.2916388511657715
1543340805.3525648,7,6.295955181121826
1543340806.0726483,8,6.259592533111572
1543340806.7917287,9,6.232532501220703
1543340828.8705914,0,6.3291425704956055
1543340829.578172,1,6.2860612869262695
1543340830.2836356,2,6.2414045333862305
1543340830.9877946,3,6.238739967346191
1543340831.6949637,4,6.22696590423584
1543340832.4001138,5,6.204151630401611
1543340833.1062744,6,6.180678367614746
1543340833.8124342,7,6.167766571044922
1543340834.5205941,8,6.178130626678467
1543340835.2275636,9,6.162148475646973
1543340857.7136822,0,6.301988124847412
1543340858.4228427,1,6.2516303062438965
1543340859.130011,2,6.244283676147461
1543340859.8381627,3,6.212718963623047
1543340860.5478008,4,6.192117691040039
1543340861.2566907,5,6.2055439949035645
1543340861.9648511,6,6.179468631744385
1543340862.672823,7,6.171961784362793
1543340863.3847876,8,6.155337333679199
1543340864.0923855,9,6.1536359786987305
1543340886.6372383,0,6.260957717895508
1543340887.3464074,1,6.209705352783203
1543340888.054559,2,6.191008567810059
1543340888.7627187,3,6.177404403686523
1543340889.4718795,4,6.168217182159424
1543340890.1806905,5,6.153194904327393
1543340890.8888505,6,6.1525139808654785
1543340891.5990195,7,6.134416103363037
1543340892.3092406,8,6.126071453094482
1543340893.0184019,9,6.130493640899658
1543340915.2332673,0,6.195455074310303
1543340915.9424398,1,6.162086486816406
1543340916.652609,2,6.131545066833496
1543340917.361761,3,6.142139434814453
1543340918.0719213,4,6.116519451141357
1543340918.7810905,5,6.111323833465576
1543340919.4890656,6,6.1095476150512695
1543340920.1992266,7,6.1035075187683105
1543340920.9078279,8,6.100680351257324
1543340921.6151063,9,6.102118492126465
1543340943.8321326,0,6.1864728927612305
1543340944.5412583,1,6.1614532470703125
1543340945.2484264,2,6.146127700805664
1543340945.9565783,3,6.13696813583374
1543340946.6658628,4,6.131599426269531
1543340947.3750234,5,6.126384258270264
1543340948.0841749,6,6.119576930999756
1543340948.792344,7,6.114161491394043
1543340949.5014958,8,6.112945556640625
1543340950.2086644,9,6.109022617340088
1543340971.6995182,0,6.179074287414551
1543340972.409679,1,6.1597137451171875
1543340973.1200075,2,6.1453423500061035
