Wall time,Step,Value
1543184489.4722872,0,6.107867240905762
1543184489.5836246,1,6.68093204498291
1543184489.693649,2,6.722526550292969
1543184489.8031569,3,6.3693132400512695
1543184489.9160082,4,6.098850727081299
1543184490.0256245,5,5.6952362060546875
1543184490.1348534,6,5.829472064971924
1543184490.2476544,7,5.824094295501709
1543184490.3576052,8,5.64686918258667
1543184490.468975,9,5.607601642608643
1543184505.2468476,0,5.515229225158691
1543184505.360106,1,5.430805683135986
1543184505.4685924,2,5.386049270629883
1543184505.5800495,3,5.318139553070068
1543184505.6895723,4,5.240945816040039
1543184505.7996304,5,5.162436008453369
1543184505.9096375,6,5.095546245574951
1543184506.0201826,7,5.0082478523254395
1543184506.131548,8,4.941920280456543
1543184506.241803,9,4.86199951171875
1543184520.8587222,0,4.793891906738281
1543184520.9855163,1,4.72501802444458
1543184521.1045651,2,4.646676063537598
1543184521.2198627,3,4.572027683258057
1543184521.3292565,4,4.500260353088379
1543184521.4414172,5,4.427995681762695
1543184521.5510726,6,4.356906414031982
1543184521.661083,7,4.287502288818359
1543184521.768217,8,4.220498085021973
1543184521.8773515,9,4.1525774002075195
1543184537.8043704,0,4.139316558837891
1543184537.9225738,1,4.07218074798584
1543184538.0306897,2,4.004703044891357
1543184538.140308,3,3.940382719039917
1543184538.2483416,4,3.8742971420288086
1543184538.3598766,5,3.810884714126587
1543184538.4700613,6,3.747129440307617
1543184538.5786965,7,3.684366464614868
1543184538.6883967,8,3.622357130050659
1543184538.7996202,9,3.5631792545318604
1543184554.6300461,0,3.498075485229492
1543184554.747623,1,3.441159963607788
1543184554.8569887,2,3.383178234100342
1543184554.9690573,3,3.327479362487793
1543184555.0812526,4,3.27571177482605
1543184555.1942775,5,3.226553201675415
1543184555.3039396,6,3.1792593002319336
1543184555.413381,7,3.133404016494751
1543184555.525959,8,3.0911545753479004
1543184555.6359406,9,3.052485942840576
1543184571.5657446,0,3.138589859008789
1543184571.6888118,1,3.086595296859741
1543184571.80425,2,3.043980598449707
1543184571.9174695,3,3.0033774375915527
1543184572.0258245,4,2.9635868072509766
1543184572.1361485,5,2.9270503520965576
1543184572.2449062,6,2.893144369125366
1543184572.3553128,7,2.8653414249420166
